@relation temporalexpression

@attribute phrase string
@attribute hasDay {0,1}
@attribute hasMonth {0,1}
@attribute hasNumString {0,1}
@attribute hasRefExpr1 {0,1}
@attribute hasRefExpr2 {0,1}
@attribute hasTimeRef {0,1}
@attribute hasDatePattern {0,1}
@attribute hasTimePattern {0,1}
@attribute hasTemporalModifier {0,1}
@attribute hasMeasurementUnit {0,1}
@attribute class {NONE,DURATION,DATE,TIME,RDT,RT}

@data
'your patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'GLYN', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'AEA', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the Emergency Department', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Daughtersvillshamen & apos', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Hospital', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'night before her surgery', 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, RDT
'XX/XX/XXXX XX:XX PM', 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, DATE
'The patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'q day', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, RT
'a XX year old gentleman', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, DURATION
'who', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'lower back pain', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'an accident', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'work', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'this month', 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, RDT
'XXXX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'This gradually', 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, NONE
'June XXXX', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'he', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'recurrent severe right', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'sciatica', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the next three days', 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, DURATION
'he', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'his activity', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'stairs', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'X-X-X', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, NONE
'Physical Therapy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX-year-old', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DURATION
'pain', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'which', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'oral analgesics', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Mr. Prehekote', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, NONE
'only male', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'who', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'adenocarcinoma', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the prostate', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XXXX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'He', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'transurethral resection', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the prostate', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'one year', 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, DURATION
'persistent urinary retention', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'The patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'February XX', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'XXXX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'time', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Eifro Medical Center', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'failure', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'hematocrit', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the increasing creatinine', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'X.X', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'February XX , XXXX', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'a left nephrostomy tube', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'The patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX pm', 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, TIME
'Genearocktemp Ry Health', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'March X , XXXX', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'transfusion', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the patient & apos', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX.X', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'discharge', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'She', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'three flights', 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, NONE
'antiarrhythmic agents', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'October', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'this year', 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, RDT
'a XX-year-old', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DURATION
'she', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'atrial fibrillation', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a rapid ventricular rate', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'several days', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, NONE
'decreased exercise tolerance', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'She', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Coumadin', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a failed attempt', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'DC electrical cardioversion', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX/XX/XX', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, DATE
'There', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'no evidence', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'left ventricular hypertrophy or asymmetric septal hypertrophy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'which', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'an issue', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'that', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'an echocardiogram', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Ownra Cin', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'New Mexico', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX/XX/XX', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, DATE
'The patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Propafenone XXX mg', 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, NONE
'three times a day', 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, RT
'an attempt', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'electrical cardioversion', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'seven doses', 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, NONE
'The Propafenone', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Amiodarone XXX mg t.i.d.', 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, NONE
'which', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'two days', 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, DURATION
'The patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'home', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Amiodarone XXX mg', 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, NONE
'XX/XX/XX', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, DATE
'An electrocardiogram', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'no evidence', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'QT prolongation', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX-year-old patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DURATION
'discharge', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'pulmonary function tests', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'home', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'today', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RDT
'The patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a XX year old patient', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, DURATION
'Dr. Laymie Fournier and Dr. Leebjescobe', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, NONE
'Co', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Saorlirv Frea', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'West Virginia', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'who', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a bout', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'double pneumonia', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'May XXXX', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'he', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Centdick Naco Hospital Medical Center', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'He', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX-XXX', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, NONE
'a transient episode', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'headache and disorientation', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'that time', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, RDT
'XX/XX/XX', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, DATE
'an intra-aortic balloon pump', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Dr. Thorebreutz', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, NONE
'him', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the operating room', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'he', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'quadruple coronary artery bypass', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'you', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'your patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'DOUETNOUNBREUNKOLL', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'STENRESLYSE', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the Emergency Department', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Ro Woodma Healthcare', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX/XX/XXXX XX:XX AM', 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, DATE
'Ms. Tikrhalt', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, NONE
'an XX year old female', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, DURATION
'previously healthy ,', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'who', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'q day', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, RT
'X months', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, DURATION
'dysphagia', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'X/XX/XX', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, DATE
'she', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the operating room', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'she', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a neart total gastrectomy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a retrocolic Bill-Roth II gastrojejunostomy reconstruction', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'her wounds', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'incident', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the staples', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the XXth postoperative day', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, RDT
'discharge', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'The patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'discharge', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the XXth postoperative day', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, RDT
'Significant', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'motor vehicle accident', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XXXX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'exploratory laparotomy and splenectomy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'tonsillectomy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a child', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'pneumonia', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the past', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'hepatitis C', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'recent diagnosis', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'hepatocellular carcinoma', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'He', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'X:XX PM', 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, TIME
'July XX , XXXX', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'He', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'one pillow', 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, NONE
'C-spine surgery', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'spinal stenosis', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a question', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'myelopathy and radiculopathy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XXXX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'residual spastic paresis and monoparesis', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the left upper extremity', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a day', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, DURATION
'admission', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'anemia , hypercholesterolemia', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'narcolepsy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the past X years', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, DURATION
'Dexedrine', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'impotence', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a week', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, DURATION
'decreased testosterone', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'X-X-X', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, NONE
'status post implant , peptic ulcer disease', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'status post duodenal resection', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'cervical stenosis', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'status post decompression & apos', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX , hernia , status post herniorrhaphy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'an XX year old female', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, DURATION
'XXXX-XX-XX XX :', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, DATE
'fatigue', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'short term memory', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the past six months', 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, DURATION
'The past six weeks', 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, DURATION
'she', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'hot sensation', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'sensation', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the hands', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the past five weeks', 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, DURATION
'the patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the right leg', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'weakness', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'that side', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Significant', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a history', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'hypertension', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'basal cell carcinoma', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the nose', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'cataracts', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a hysterectomy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Harl Wa Healthcare Network', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'April XX', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'XXXX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'stable condition', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'Patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'q day', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, RT
'the Operating Room', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'April XX', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a left parietal stereotactic guided brain biopsy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'He', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'progressive symptoms', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'congestive heart failure', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'which', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'his evaluation', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'his cardiac transplant', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'March', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'XXXX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'morning of admission', 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, RDT
'He', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'changes', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'twice a day', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, RT
'He', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a subtotal colectomy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX/XX/XX', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, DATE
'which', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'He', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'urine and blood cultures', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the ED', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX/XX', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, DATE
'avalox', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'The patient & apos', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'WBC', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX.X', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'discharge', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a peak', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XX/XX', 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, DATE
'February X', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'XXXX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'rigid bronchoscopy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'biopsy and upper gastrointestinal endoscopy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'February X , XXXX', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'Yesterday afternoon', 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, RDT
'a central venous line', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'her right subclavian', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XXXX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'two litres', 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, NONE
'atypical small cell carcinoma', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the lung', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'chemotherapy and radiation therapy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'XXXX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'She', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'four treatments', 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, NONE
'brachytherapy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'March', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'May', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'XXXX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'She', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'December', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'XXXX', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'she', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'cough', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'strangulation', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'a XX-year-old', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, DURATION
'attempts', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'solids or drinking liquids', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'The patient', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'the Operating Room', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'February X , XXXX', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'she', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'rigid and flexible bronchoscopy and upper gastrointestinal endoscopy', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'A repeat echocardiogram', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'February XX', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'no significant change', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'her previous echocardiogram', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'February XX', 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, DATE
'which', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
'only a small pericardial effusion', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NONE
